Timestamp 	 X 	 Y 	 Z 
1663667075983	9.189635	1.4724833	-2.440679
1663667075986	9.44806	1.3238292	-1.4231312
1663667076009	9.32124	1.3190435	-2.4717858
1663667076014	9.141779	1.4581263	-3.470191
1663667076036	9.038888	1.6543378	-3.6233318
1663667076074	9.005089	1.730908	-3.3000016
1663667076087	9.05803	1.6495521	-3.1253254
1663667076100	9.05803	1.6495521	-3.1253254
1663667076160	9.211171	1.4509479	-3.0894332
1663667076166	9.183653	1.5394822	-3.0894332
1663667076203	9.102298	1.5837495	-3.1360931
1663667076209	9.044869	1.5586249	-3.2246277
1663667076214	9.071191	1.5287145	-3.2210383
1663667076281	9.123833	1.4856437	-3.1827533
1663667076289	9.15494	1.483251	-3.1719856
1663667076297	9.177671	1.5203397	-3.185146
1663667076304	9.233903	1.5418751	-3.0870404
1663667076332	9.211171	1.5382859	-3.0296125
1663667076341	9.147761	1.5083755	-3.1229327
1663667076363	9.090333	1.5191432	-3.2162528
1663667076403	9.075976	1.5215361	-3.223431
1663667076407	9.111869	1.5299109	-3.1372895
1663667076412	9.18485	1.5586249	-3.024827
1663667076501	9.192028	1.5502499	-3.0499516
1663667076509	9.177671	1.5155541	-3.1516466
1663667076517	9.156136	1.4784653	-3.1887352
1663667076524	9.116654	1.4736797	-3.1671999
1663667076557	9.12144	1.4653047	-3.1289146
1663667076563	9.1465645	1.4712868	-3.0870404
1663667076570	9.177671	1.5071791	-3.077469
1663667076577	9.1669035	1.5287145	-3.0858438
1663667076587	9.150154	1.5263218	-3.1289146
1663667076606	9.12144	1.4904294	-3.1504502
1663667076618	9.098708	1.4676976	-3.164807
1663667076649	9.099904	1.5167505	-3.1779675
1663667076653	9.12503	1.582553	-3.132504
1663667076687	9.159725	1.611267	-3.0822546
1663667076693	9.127422	1.5299109	-3.0762727
1663667076703	9.114262	1.4569299	-3.1109686
1663667076743	9.122637	1.468894	-3.1779675
1663667076752	9.159725	1.50359	-3.1683962
1663667076825	9.174082	1.5394822	-3.1073792
1663667076838	9.156136	1.5370895	-3.0990045
1663667076851	9.15494	1.5586249	-3.124129
1663667076862	9.159725	1.5454643	-3.1145577
1663667076871	9.115458	1.5358931	-3.1289146
1663667076881	9.09153	1.5323038	-3.1576285
1663667076891	9.131011	1.5370895	-3.1372895
1663667076961	9.157332	1.5430715	-3.0978081
1663667076973	9.159725	1.5287145	-3.1073792
1663667076983	9.116654	1.4928222	-3.193521
1663667077047	9.092726	1.4784653	-3.1875389
1663667077060	9.111869	1.489233	-3.1420753
1663667077072	9.158528	1.4964114	-3.1025937
1663667077080	9.195618	1.50359	-3.0559337
1663667077089	9.176475	1.5167505	-3.100201
1663667077095	9.140582	1.4904294	-3.1552358
1663667077107	9.109476	1.4593227	-3.161218
1663667077115	9.113065	1.4222339	-3.1061828
1663667077144	9.152547	1.4090735	-3.0762727
1663667077157	9.171689	1.4018949	-3.1013973
1663667077168	9.159725	1.4030914	-3.1229327
1663667077256	9.176475	1.4377873	-3.124129
1663667077270	9.183653	1.407877	-3.1420753
1663667077281	9.177671	1.4102699	-3.0786655
1663667077290	9.189635	1.4090735	-3.012863
1663667077301	9.174082	1.4102699	-3.0284162
1663667077313	9.178867	1.3743775	-3.0894332
1663667077326	9.193225	1.3310076	-3.1169505
1663667077335	9.229117	1.3501502	-3.091826
1663667077348	9.219545	1.3540385	-3.1025937
1663667077361	9.200403	1.352543	-3.1624143
1663667077457	9.201599	1.3441681	-3.1289146
1663667077470	9.178867	1.346561	-3.0535407
1663667077481	9.140582	1.355235	-3.0690942
1663667077491	9.12144	1.3357933	-3.1301112
1663667077503	9.162118	1.3202399	-3.1229327
1663667077513	9.201599	1.332204	-3.1025937
1663667077525	9.176475	1.346561	-3.118147
1663667077537	9.1872425	1.3827524	-3.144468
1663667077550	9.18485	1.3863416	-3.1337004
1663667077556	9.206385	1.3719847	-3.1193435
1663667077578	9.1681	1.3648062	-3.1600213
1663667077585	9.127422	1.3477573	-3.2246277
1663667077656	9.099904	1.3791631	-3.2126634
1663667077671	9.109476	1.4198412	-3.1396823
1663667077685	9.079565	1.4389837	-3.0846474
1663667077696	9.066405	1.4389837	-3.1169505
1663667077722	9.072387	1.4258232	-3.1755748
1663667077734	9.115458	1.4353945	-3.2162528
1663667077747	9.160921	1.4054842	-3.2174492
1663667077757	9.190832	1.3983058	-3.191128
1663667077767	9.178867	1.3947165	-3.1600213
1663667077821	9.136993	1.3995022	-3.170789
1663667077832	9.103494	1.4042878	-3.140879
1663667077844	9.0951185	1.3947165	-3.138486
1663667077856	9.089137	1.3755739	-3.158825
1663667077869	9.114262	1.4054842	-3.203092
1663667077880	9.156136	1.4198412	-3.2210383
1663667077925	9.189635	1.3995022	-3.2078779
1663667077936	9.175279	1.3923237	-3.185146
1663667077960	9.107083	1.3875381	-3.2294133
1663667077974	9.047262	1.4090735	-3.2820554
1663667078056	9.066405	1.4449657	-3.3062828
1663667078070	9.114262	1.4665012	-3.2473595
1663667078084	9.153743	1.434198	-3.1636107
1663667078096	9.152547	1.4413766	-3.1468608
1663667078108	9.1465645	1.474876	-3.1827533
1663667078120	9.150154	1.5131612	-3.1839497
1663667078130	9.177671	1.5323038	-3.179164
1663667078140	9.145369	1.556232	-3.1875389
1663667078153	9.071191	1.5538392	-3.240181
1663667078165	9.042477	1.5646069	-3.2844481
1663667078257	9.053245	1.582553	-3.2880373
1663667078272	9.115458	1.5873387	-3.2377882
1663667078284	9.108279	1.5777674	-3.2557342
1663667078297	9.0951185	1.5801603	-3.2796626
1663667078307	9.084352	1.5837495	-3.2413774
1663667078319	9.096315	1.5933207	-3.179164
1663667078332	9.089137	1.590928	-3.1755748
1663667078345	9.066405	1.5861423	-3.2210383
1663667078358	9.038888	1.5693926	-3.3000016
1663667078371	9.044869	1.5993029	-3.330211
1663667078381	9.084352	1.6304095	-3.2916267
1663667078457	9.111869	1.6651055	-3.219842
1663667078472	9.136993	1.6686947	-3.1839497
1663667078484	9.12503	1.6842481	-3.1839497
1663667078495	9.085547	1.6734804	-3.2090743
1663667078508	9.050852	1.6674982	-3.2425737
1663667078522	9.032606	1.6567305	-3.266502
1663667078534	9.030213	1.6698911	-3.2748768
1663667078552	9.029017	1.698605	-3.26052
1663667078559	9.052048	1.7069799	-3.2018957
1663667078566	9.073584	1.6878372	-3.158825
1663667078572	9.0747795	1.6794624	-3.203092
1663667078579	9.041281	1.6830516	-3.2712877
1663667078655	9.037691	1.6615162	-3.2916267
1663667078666	9.0544405	1.6770695	-3.2377882
1663667078675	9.072387	1.6974086	-3.1743784
1663667078687	9.079565	1.7009978	-3.1636107
1663667078726	9.055637	1.6878372	-3.1779675
1663667078741	9.044869	1.6663018	-3.1839497
1663667078753	9.075976	1.6962122	-3.1576285
1663667078764	9.0951185	1.7021942	-3.1660035
1663667078776	9.069994	1.6734804	-3.2222347
1663667078823	9.055637	1.6782659	-3.2306097
1663667078836	9.077172	1.6854445	-3.1827533
1663667078848	9.132208	1.6890336	-3.1253254
1663667078858	9.136993	1.6483557	-3.1133614
1663667078871	9.122637	1.6411772	-3.193521
1663667078880	9.101101	1.6292131	-3.240181
1663667078924	9.069994	1.6052849	-3.2760732
1663667078935	9.048459	1.617249	-3.2904303
1663667078963	9.0747795	1.6854445	-3.2473595
1663667078972	9.086744	1.6962122	-3.1827533
1663667079057	9.05803	1.6902301	-3.1456645
1663667079071	9.049655	1.6471593	-3.170789
1663667079083	9.064013	1.6411772	-3.2138598
1663667079094	9.092726	1.6304095	-3.248556
1663667079105	9.096315	1.6148561	-3.2760732
1663667079117	9.068798	1.6387844	-3.2425737
1663667079128	9.062816	1.6926229	-3.1971102
1663667079138	9.083155	1.7117655	-3.1480572
1663667079150	9.092726	1.6950158	-3.1456645
1663667079161	9.090333	1.6722839	-3.1959138
1663667079255	9.075976	1.6615162	-3.2413774
1663667079269	9.092726	1.6651055	-3.2150564
1663667079282	9.109476	1.6878372	-3.1815567
1663667079294	9.101101	1.6639091	-3.1779675
1663667079304	9.098708	1.6459628	-3.193521
1663667079316	9.050852	1.6495521	-3.225824
1663667079325	9.068798	1.6663018	-3.2377882
1663667079336	9.081959	1.6818552	-3.2018957
1663667079346	9.09153	1.6710875	-3.1899316
1663667079356	9.092726	1.6423737	-3.1887352
1663667079367	9.092726	1.6483557	-3.1875389
1663667079457	9.097511	1.6459628	-3.2018957
1663667079470	9.071191	1.625624	-3.2162528
1663667079481	9.06162	1.6268203	-3.248556
1663667079492	9.066405	1.6447664	-3.2581272
1663667079504	9.052048	1.6639091	-3.2509487
1663667079515	9.01466	1.6471593	-3.2425737
1663667079527	9.027821	1.6411772	-3.2246277
1663667079530	9.083155	1.6543378	-3.2006993
1663667079536	9.097511	1.6519449	-3.2126634
1663667079547	9.102298	1.625624	-3.219842
1663667079566	9.101101	1.6280167	-3.2138598
1663667079573	9.062816	1.6076777	-3.2306097
1663667079655	9.06162	1.625624	-3.2425737
1663667079669	9.073584	1.657927	-3.2389846
1663667079682	9.096315	1.6531414	-3.2210383
1663667079692	9.093923	1.6339988	-3.2018957
1663667079741	9.073584	1.617249	-3.2210383
1663667079748	9.056833	1.6160526	-3.2653055
1663667079753	9.052048	1.6280167	-3.2916267
1663667079757	9.062816	1.6268203	-3.266502
1663667079823	9.068798	1.6136597	-3.2449665
1663667079836	9.064013	1.6040884	-3.2377882
1663667079847	9.084352	1.5729818	-3.2138598
1663667079859	9.097511	1.5610176	-3.2270205
1663667079872	9.089137	1.5287145	-3.2449665
1663667079884	9.098708	1.5454643	-3.2712877
1663667079894	9.077172	1.556232	-3.2784662
1663667079947	9.053245	1.590928	-3.2856445
1663667079960	9.052048	1.6064813	-3.2629128
1663667079970	9.078369	1.5777674	-3.2306097
1663667079981	9.127422	1.5394822	-3.205485
1663667080058	9.123833	1.5418751	-3.2389846
1663667080070	9.085547	1.5466608	-3.268895
1663667080080	9.08794	1.5658033	-3.2820554
1663667080090	9.08794	1.5813566	-3.2557342
1663667080102	9.083155	1.5921243	-3.26052
1663667080112	9.069994	1.6004993	-3.272484
1663667080123	9.079565	1.6088741	-3.2533414
1663667080136	9.097511	1.611267	-3.2449665
1663667080148	9.102298	1.6268203	-3.268895
1663667080160	9.085547	1.623231	-3.2964122
1663667080256	9.046066	1.6160526	-3.2964122
1663667080268	9.042477	1.6220347	-3.330211
1663667080280	9.015857	1.637588	-3.3565319
1663667080291	9.026625	1.6483557	-3.3266218
1663667080301	9.03141	1.6615162	-3.301497
1663667080312	9.021839	1.6651055	-3.3170505
1663667080324	9.026625	1.6280167	-3.3086755
1663667080337	9.052048	1.6208383	-3.252145
1663667080350	9.0747795	1.5873387	-3.2330024
1663667080361	9.093923	1.5693926	-3.248556
1663667080372	9.075976	1.5693926	-3.2748768
1663667080457	9.078369	1.5957136	-3.3086755
1663667080470	9.062816	1.6328024	-3.292823
1663667080482	9.080762	1.6304095	-3.231806
1663667080493	9.0951185	1.637588	-3.211467
1663667080504	9.089137	1.6363916	-3.2353954
1663667080513	9.075976	1.611267	-3.252145
1663667080538	9.085547	1.6040884	-3.2461631
1663667080550	9.072387	1.6004993	-3.2569308
1663667080555	9.065208	1.6196418	-3.2796626
