Timestamp 	 X 	 Y 	 Z 
1662979189674	9.719945	-0.9409775	-0.69601226
1662979189882	9.759426	-0.94337034	-0.6203393
1662979190093	9.7501545	-0.9708878	-0.5925227
1662979190312	9.723833	-0.959821	-0.62871414
1662979190508	9.727721	-0.91495556	-0.6454639
1662979190705	9.748658	-0.9631111	-0.61675006
1662979190911	9.736395	-0.94666046	-0.66729844
1662979191113	9.748958	-0.91585284	-0.747458
1662979191319	9.743873	-0.9828519	-0.7316055
1662979191501	9.6122675	-0.8874381	-0.86530447
1662979191710	9.810274	-0.8135597	-0.895813
1662979191903	9.666406	-0.5419743	-1.1027921
1662979192115	9.808479	-0.6221339	-1.1494522
1662979192306	9.731311	-0.5805586	-1.1886346
1662979192519	9.710373	-0.52283174	-1.2520444
1662979192724	9.727721	-0.63230336	-1.2547364
1662979192937	9.71486	-0.7190432	-1.1691929
1662979193130	9.697811	-0.74626154	-1.1252248
1662979193342	9.733106	-0.7082755	-1.0609177
1662979193519	9.695718	-0.738784	-1.0531411
1662979193732	9.746265	-0.76719874	-0.9933205
1662979193928	9.730114	-0.72502524	-0.9954142
1662979194135	9.7298155	-0.7375876	-0.9457632
1662979194327	9.753145	-0.73579293	-0.9212367
1662979194539	9.757631	-0.7573284	-0.875474
1662979194733	9.707682	-0.78753775	-0.80817586
1662979194944	9.759726	-0.77347994	-0.7220342
1662979195135	9.716056	-0.78454673	-0.74626154
1662979195347	9.764811	-0.80787677	-0.7480562
1662979195540	9.765109	-0.8350951	-0.72382885
1662979195769	9.736096	-0.77407813	-0.67178494
1662979195944	9.755538	-0.77347994	-0.65084773
1662979196157	9.733404	-0.76689965	-0.70348984
1662979196358	9.771689	-0.79950184	-0.6550352
1662979196552	9.760623	-0.79860455	-0.69332033
1662979196753	9.736994	-0.849452	-0.7109674
1662979196982	9.729516	-0.8111669	-0.6903293
1662979197159	9.778868	-0.80877405	-0.6975078
1662979197394	9.742377	-0.8132606	-0.69571316
1662979197562	9.742078	-0.7788638	-0.7283154
1662979197773	9.753445	-0.77407813	-0.69122666
1662979197981	9.731909	-0.785444	-0.71336025
1662979198168	9.782756	-0.7749754	-0.6667002
1662979198403	9.748958	-0.8171489	-0.73519474
1662979198573	9.731609	-0.8129615	-0.70348984
1662979198775	9.749257	-0.82612205	-0.7055836
1662979198977	9.7399845	-0.8467601	-0.7196414
1662979199189	9.759128	-0.8063812	-0.74566334
1662979199395	9.744472	-0.8042875	-0.7043872
1662979199593	9.7501545	-0.8021938	-0.6972087
1662979199803	9.755837	-0.7830512	-0.69152576
1662979200015	9.74148	-0.78424764	-0.68045896
1662979200186	9.759426	-0.7851449	-0.5988039
1662979200410	9.739087	-0.82642114	-0.6089734
1662979200596	9.686745	-0.83120674	-0.75702924
1662979200794	9.613464	-0.99661064	-0.72472614
1662979200998	10.11506	-0.48753762	-0.81954175
1662979201226	9.71815	-0.044865426	-0.101694964
1662979201412	9.387642	-0.1585245	0.16869399
1662979201631	10.580164	0.56500524	-1.1195419
1662979201821	9.1821575	-1.7252251	-1.3731811
1662979202041	10.226326	-0.69571316	-1.0683953
1662979202209	9.505488	-0.2431706	-2.7272196
1662979202432	8.830712	-0.08763713	-0.38584265
1662979202634	10.823036	0.15014961	-1.8681962
1662979202839	8.770593	-1.6193427	-1.2343974
1662979203019	11.148459	-0.8389834	-1.5436697
1662979203251	9.02483	-0.5168497	-1.2816557
1662979203446	8.949456	0.7390831	-0.40797627
1662979203638	10.281959	-0.19232312	-2.0162523
1662979203831	9.086744	-1.4790635	-1.1877373
1662979204045	11.064711	-1.4506488	-1.5403795
1662979204224	9.567402	0.83778703	-0.9526425
1662979204447	8.646764	0.038285162	-0.4142574
1662979204643	9.998709	-0.27128628	-2.05693
1662979204854	9.106484	-1.4925231	-1.0746765
1662979205050	11.177473	-1.0037891	-1.6378871
1662979205246	9.363414	0.5288138	-0.7710871
1662979205456	8.915359	0.119940236	-0.3930211
1662979205667	9.965508	-0.19441684	-2.2591236
1662979205844	9.175279	-1.4751751	-1.3241283
1662979206054	11.111072	-1.218844	-1.7754744
1662979206257	9.323035	0.8545368	-0.881456
1662979206469	9.180064	0.032901313	-0.74386877
1662979206652	9.80489	-0.5449654	-2.1071794
1662979206882	9.550952	-1.131506	-0.802792
1662979207056	10.434502	-0.8578269	-2.1565313
1662979207268	9.172886	0.974477	-0.8916255
1662979207461	10.588539	0.4671986	-0.8635099
1662979207675	9.352048	-1.4030914	-1.07019
1662979207875	9.336494	-1.0845468	-0.9314062
1662979208075	9.987641	0.062512495	-2.09701
1662979208269	8.942576	0.37298122	-0.82911307
1662979208484	11.110474	0.46959144	-0.8569296
1662979208680	9.163913	-1.2173486	-1.5484554
1662979208905	9.793823	-0.99990076	-1.0363913
1662979209081	9.849755	-0.11694921	-2.2301106
1662979209293	8.540583	0.14117654	-0.7052845
1662979209505	10.958829	0.42741793	-1.2173486
1662979209693	9.364311	-1.023829	-1.2526426
1662979209890	9.551849	-0.97836536	-1.026521
