Timestamp 	 X 	 Y 	 Z 
1663767210580	9.055637	-0.60687965	-3.3637104
1663767210585	9.019445	-0.5518447	-3.4570305
1663767210589	8.962018	-0.6343971	-3.4127634
1663767210593	8.934501	-0.50039905	-3.8964126
1663767210599	9.080762	-0.23688944	-4.0830526
1663767210603	9.071191	-0.12203395	-3.996911
1663767210607	8.98475	-0.034695927	-4.0064826
1663767210610	8.940483	-0.09930214	-3.9323049
1663767210613	9.080762	-0.2727818	-3.8916268
1663767210618	9.172886	-0.4226323	-3.8964126
1663767210669	9.145369	-0.48245287	-3.946662
1663767210673	9.036494	-0.43818563	-3.950251
1663767210710	8.945269	-0.39870408	-3.938287
1663767210717	8.910572	-0.3580261	-3.9418762
1663767210766	8.944072	-0.36281174	-3.9035912
1663767210779	8.994321	-0.39032918	-3.8796628
1663767210790	9.013464	-0.42741793	-3.8434713
1663767210803	9.009874	-0.47886363	-3.7944186
1663767210813	8.965608	-0.4884349	-3.7692938
1663767210843	8.889037	-0.49322057	-3.7860436
1663767210851	8.886644	-0.47168517	-3.8446677
1663767210857	8.9057865	-0.41904306	-3.8614175
1663767210868	8.963215	-0.3472584	-3.8641095
1663767210929	9.041281	-0.33888352	-3.78724
1663767210943	9.08794	-0.37597227	-3.7250266
1663767210954	9.140582	-0.45972106	-3.6831522
1663767210964	9.15494	-0.4968098	-3.6963127
1663767210974	9.080762	-0.51236314	-3.746562
1663767210988	8.982357	-0.4657031	-3.734598
1663767211041	8.945269	-0.4142574	-3.6771703
1663767211058	9.021839	-0.3592225	-3.6400814
1663767211098	9.096315	-0.32542387	-3.671188
1663767211111	9.153743	-0.36281174	-3.6915271
1663767211123	9.18126	-0.35563326	-3.6723845
1663767211138	9.188439	-0.34486556	-3.6233318
1663767211153	9.174082	-0.29671	-3.5850465
1663767211166	9.131011	-0.25004998	-3.6041892
1663767211176	9.093923	-0.2632105	-3.6604204
1663767211187	9.050852	-0.2727818	-3.6891344
1663767211200	9.077172	-0.30149564	-3.69392
1663767211242	9.0747795	-0.29790643	-3.7657046
1663767211256	9.0951185	-0.28953153	-3.80399
1663767211349	9.078369	-0.32063824	-3.8303108
1663767211362	9.084352	-0.36281174	-3.8015969
1663767211371	9.092726	-0.42502514	-3.7501514
1663767211386	9.08794	-0.453739	-3.69392
1663767211399	9.024232	-0.45732823	-3.6723845
1663767211412	8.98475	-0.4226323	-3.6652062
1663767211425	8.979964	-0.3699902	-3.6867416
1663767211437	8.968	-0.317049	-3.754937
1663767211448	8.973982	-0.25004998	-3.760919
1663767211460	9.029017	-0.23330021	-3.7034912
1663767211505	9.085547	-0.2428715	-3.6029928
1663767211517	9.183653	-0.2739782	-3.5886357
1663767211531	9.206385	-0.24885355	-3.6293137
1663767211545	9.153743	-0.25722843	-3.6017964
1663767211568	9.114262	-0.25124636	-3.5563326
1663767211579	9.114262	-0.27996024	-3.5682967
1663767211590	9.144172	-0.35084763	-3.6281173
1663767211604	9.147761	-0.38554356	-3.6951163
1663767211619	9.080762	-0.36281174	-3.7824545
1663767211629	9.007482	-0.2955136	-3.7824545
1663767211673	8.927322	-0.25842485	-3.699902
1663767211686	8.892626	-0.28713873	-3.6975093
1663767211764	8.947661	-0.29790643	-3.7238302
1663767211785	9.047262	-0.31226337	-3.7800615
1663767211806	9.111869	-0.30987054	-3.8099718
1663767211822	9.101101	-0.29312077	-3.8183467
1663767211837	9.093923	-0.25244278	-3.7776687
1663767211849	9.113065	-0.21894327	-3.7429729
1663767211865	9.113065	-0.23928227	-3.7824545
1663767211880	9.098708	-0.32303107	-3.7968113
1663767211892	9.047262	-0.37716866	-3.7704902
1663767211904	9.003893	-0.34606197	-3.7322052
1663767211916	8.978767	-0.23569304	-3.7513478
1663767211964	8.969196	-0.17467605	-3.7369907
1663767211977	9.049655	-0.20697916	-3.7310088
1663767211987	9.142975	-0.24526432	-3.6903307
1663767211998	9.233903	-0.28115666	-3.6699917
1663767212010	9.235099	-0.25004998	-3.7070804
1663767212022	9.158528	-0.1591227	-3.726223
1663767212033	9.059227	-0.13998012	-3.7800615
1663767212047	9.0436735	-0.18903299	-3.8374894
1663767212096	9.056833	-0.29312077	-3.8641095
1663767212111	9.035298	-0.41545382	-3.9011981
1663767212127	9.020642	-0.46331027	-3.8928235
1663767212140	8.970393	-0.43698925	-3.8916268
1663767212150	8.966804	-0.38434714	-3.8063827
1663767212163	8.932108	-0.2955136	-3.7274194
1663767212176	8.911769	-0.28115666	-3.7369907
1663767212188	8.911769	-0.28953153	-3.7728832
1663767212197	8.910572	-0.30149564	-3.714259
1663767212244	8.940483	-0.2943172	-3.6041892
1663767212259	8.976375	-0.24047868	-3.5359936
1663767212270	8.971589	-0.19142582	-3.571886
1663767212283	9.024232	-0.15672988	-3.6436708
1663767212347	9.080762	-0.15074782	-3.7537405
1663767212359	9.158528	-0.09930214	-3.8063827
1663767212367	9.1669035	-0.10887343	-3.7968113
1663767212377	9.24467	-0.16749759	-3.6951163
1663767212391	9.3511505	-0.2213361	-3.5958142
1663767212404	9.347562	-0.27876383	-3.5503507
1663767212421	9.209974	-0.317049	-3.5551362
1663767212435	9.072387	-0.2847459	-3.6340995
1663767212568	8.909376	-0.25124636	-3.6819558
1663767212587	8.855537	-0.18903299	-3.6233318
1663767212598	8.930911	-0.12562318	-3.5623147
1663767212609	9.03141	-0.148355	-3.5694933
1663767212619	9.115458	-0.2321038	-3.6484563
1663767212633	9.152547	-0.27876383	-3.738187
1663767212649	9.114262	-0.26081768	-3.7884364
1663767212658	9.0544405	-0.21296121	-3.7848473
1663767212666	9.190832	-0.22971097	-3.577868
1663767212675	8.666505	0.45254257	-4.4817567
1663767212689	9.066405	0.59730834	-3.6424742
1663767212702	9.23151	0.42023948	-3.4737802
1663767212717	9.376275	0.24915266	-3.5347972
