Timestamp 	 X 	 Y 	 Z 
1662991305195	-0.075286925	0.12545276	0.01175881
1662991305382	-0.057496	0.069712944	0.018249061
1662991305621	-0.014431266	0.033902023	-0.0071010995
1662991305783	-0.010918895	0.010613471	-0.018478129
1662991305983	-0.016569233	-0.053525493	-0.054594472
1662991306173	-0.15988927	-0.10162971	-0.11331217
1662991306383	-0.09521582	-0.10460759	-0.004428643
1662991306592	-0.066124216	-0.06306998	0.07322531
1662991306805	-0.048027866	0.0387888	0.10437853
1662991307017	-0.09086353	-0.026953636	0.15263546
1662991307226	-0.18119256	-0.13011047	0.17241164
1662991307412	-0.2680856	-0.15744588	0.18157434
1662991307623	-0.24388076	-0.037338037	0.1227803
1662991307804	-0.29641363	-0.019547112	0.04550812
1662991308011	-0.17462596	0.10437853	0.06894939
1662991308234	-0.2474695	0.19340952	0.048562355
1662991308432	-0.2543415	0.09910997	2.2906772E-4
1662991308624	-0.05612159	6.8720314E-4	-0.04291202
1662991308841	0.013514996	-0.021685077	0.026266431
1662991309048	0.1885991	-0.1220931	-0.03504736
1662991309234	0.18775918	-0.22173755	-0.019088976
1662991309454	0.01267508	-0.042377528	0.0030542363
1662991309623	0.087809294	-9.162709E-4	-0.034054734
1662991309836	0.19020256	0.0035887277	-0.027946262
1662991310049	-0.05260922	0.20722993	0.00671932
1662991310262	-0.1066692	0.23555797	0.04253024
1662991310455	-0.037796173	0.21776704	0.05207473
1662991310666	-0.06215371	0.17684028	0.025121093
1662991310839	-0.09796463	0.12720895	0.017714571
1662991311049	-0.031458635	0.05444176	1.5271181E-4
1662991311262	0.014813046	0.034283802	-0.008246438
1662991311452	0.01977618	0.019623468	0.0061084726
1662991311684	-0.005726693	-0.0051158457	0.003283304
1662991311876	-0.016263809	-0.014431266	0.001603474
1662991312047	-0.0077883024	-0.005421269	0.0030542363
1662991312262	-0.0038941512	-0.0038941512	9.162709E-4
1662991312457	-0.0011453386	-0.003283304	-0.0029015245
1662991312667	0.006566608	-4.5813544E-4	-0.0077883024
1662991312891	0.0023670332	-0.0029778804	-0.0046577104
1662991313090	-0.005726693	-0.010231691	-0.0051158457
1662991313264	-0.019165333	-0.016263809	-0.006566608
1662991313483	-0.008399149	-0.0070247436	-0.0019852535
1662991313666	-0.001603474	-0.0019852535	0.004046863
1662991313891	-0.005726693	-0.0012216945	0.007330167
1662991314091	-0.0069483877	-0.007406523	0.004963134
1662991314303	-9.926268E-4	-0.0013744063	0.004886778
1662991314482	-0.0017561859	-0.0036650836	0.00503949
1662991314706	-0.0051158457	-0.0037414394	0.0014507623
1662991314889	-0.0037414394	0.0030542363	0.0045049987
1662991315088	-0.0086282175	-0.004886778	0.0025961008
1662991315303	-0.01007898	-0.010689827	0.004810422
