Timestamp 	 X 	 Y 	 Z 
1663669468772	-60.131252	-11.8125	2.86875
1663669468946	-59.8875	-11.83125	2.8875
1663669469181	-60.093754	-11.2875	2.9437501
1663669469400	-60.318752	-10.9875	3.075
1663669469611	-60.281254	-10.5375	3.1312501
1663669469768	-60.300003	-10.200001	3.35625
1663669469993	-60.3375	-10.14375	3.8437502
1663669470155	-60.562504	-10.05	4.5375004
1663669470351	-60.787502	-10.05	5.15625
1663669470550	-60.99375	-10.03125	5.4
1663669470743	-61.031254	-10.181251	5.5687504
1663669470935	-61.031254	-10.425	5.7000003
1663669471152	-61.068752	-10.650001	6.01875
1663669471336	-61.143753	-10.837501	6.05625
1663669471552	-61.18125	-10.931251	6.1875005
1663669471736	-61.275	-11.175	6.3375
1663669471953	-61.350002	-11.34375	6.76875
1663669472140	-61.256252	-11.53125	7.2937503
1663669472333	-61.443752	-11.71875	7.5750003
1663669472550	-61.3875	-11.56875	7.6875005
1663669472760	-61.575	-11.418751	7.55625
1663669472969	-61.48125	-11.212501	7.5000005
1663669473151	-61.4625	-10.9875	7.0875
1663669473353	-61.331253	-10.63125	6.5062504
1663669473535	-61.125004	-10.200001	5.55
1663669473763	-61.068752	-9.806251	4.5375004
1663669473958	-60.843754	-9.31875	3.73125
1663669474187	-60.487503	-8.962501	2.9437501
1663669474354	-60.112503	-8.493751	2.025
1663669474607	-59.943752	-8.212501	1.21875
1663669474779	-59.662502	-7.6312504	0.675
1663669474957	-59.568752	-7.2187505	0.1875
1663669475170	-59.475002	-6.9187503	-0.075
1663669475387	-59.49375	-6.4875	-0.112500004
1663669475542	-59.475002	-6.2625003	-0.056250002
1663669475759	-59.7	-6.1125	-0.0
1663669475944	-59.718754	-6.0750003	0.26250002
1663669476170	-59.68125	-6.1875005	0.5625
1663669476363	-59.850002	-6.4687505	0.65625
1663669476559	-59.925003	-6.5625005	1.06875
1663669476740	-60.15	-6.6937504	1.5187501
1663669477087	-60.393753	-7.1625004	1.95
1663669477223	-60.600002	-7.6687503	2.68125
1663669477390	-60.750004	-8.25	3.4875002
1663669477608	-60.91875	-9.075001	4.70625
1663669477884	-61.0125	-10.05	5.9625
1663669478018	-61.031254	-11.2875	7.18125
1663669478205	-60.9	-12.975	7.89375
1663669478393	-60.825	-14.306251	8.400001
1663669478603	-60.6375	-15.262501	8.962501
1663669478754	-60.6375	-16.143751	9.356251
1663669479023	-60.787502	-16.85625	10.125
1663669479200	-61.031254	-17.212502	10.89375
1663669479389	-61.312504	-17.1375	12.075001
1663669479591	-61.66875	-16.987501	13.63125
1663669479755	-62.006252	-16.837502	15.375001
1663669480006	-62.2125	-17.15625	17.081251
1663669480181	-62.456253	-17.7	18.1875
1663669480392	-62.737503	-18.2625	18.900002
1663669480601	-63.000004	-18.7875	18.993752
1663669480884	-63.562504	-18.7875	18.31875
1663669481079	-64.21875	-18.9375	17.19375
1663669481138	-64.55625	-19.2	16.331251
1663669481335	-65.287506	-19.25625	15.656251
1663669481555	-65.793755	-19.29375	15.3
1663669481749	-65.981255	-19.44375	14.981251
1663669481953	-65.9625	-19.875	14.19375
1663669482145	-65.700005	-20.268751	13.650001
1663669482371	-65.025	-21.150002	13.425
1663669482571	-64.3125	-21.84375	13.275001
1663669482768	-64.106255	-21.993752	13.200001
1663669482956	-63.61875	-22.03125	13.06875
1663669483164	-63.24375	-21.825	13.125001
1663669483342	-62.9625	-21.7875	13.312501
1663669483573	-62.343754	-22.0125	13.481251
1663669483754	-61.612503	-22.3125	13.106251
1663669483943	-61.237503	-22.59375	13.031251
1663669484144	-60.768753	-23.0625	12.825001
1663669484355	-60.000004	-23.868752	12.093751
1663669484556	-59.287502	-24.056252	10.556251
1663669484757	-58.818752	-23.98125	8.45625
1663669484958	-58.350002	-23.587502	6.8625
1663669485210	-58.537502	-22.9125	6.1125
1663669485471	-58.818752	-22.21875	6.15
1663669485627	-58.800003	-21.6	6.6000004
1663669485950	-58.987503	-21.075	7.1062503
1663669485961	-59.381252	-19.987501	6.95625
1663669486204	-59.737503	-19.087502	7.1062503
1663669486433	-59.9625	-18.35625	7.36875
1663669486677	-60.412502	-17.34375	7.4812503
1663669486899	-60.525	-16.181252	7.1625004
1663669487022	-60.843754	-14.85	6.675
1663669487166	-61.29375	-13.500001	5.5875
1663669487430	-61.500004	-11.981251	4.275
1663669487663	-61.350002	-10.81875	3.525
1663669487902	-61.2	-9.8625	2.7375002
1663669488109	-61.18125	-8.606251	2.0812502
1663669488234	-60.937504	-7.4812503	1.2
1663669488413	-60.862503	-6.3187504	0.75
1663669488669	-60.693752	-5.4187503	0.16875
1663669488901	-60.375004	-4.78125	-0.31875002
1663669489105	-60.206253	-4.59375	-0.61875004
1663669489228	-60.2625	-5.175	-0.73125005
